collection_date,sample_size,unrooted_pd,bwpd,pc1,pc2,pc3,pc4,pc5,grouping,test
t9,17,0.251274548226258,0.407301567035947,0.816271301739129,0.935340106744639,0.228394412477132,0.411906115292684,0.424684811680997,birth day - Duroc x Landrace,Kruskal-Wallis
t0,59,0.0370108145110229,0.147111862176226,0.373982503601922,0.401029586126736,0.874437548476441,0.92919066262343,0.0765098730308391,birth day - Duroc x Large white,Kruskal-Wallis
t1,24,0.218459784013264,0.777457278307335,0.302193128087455,0.202292920908451,0.0480215473125477,0.243843461737326,0.0977973429791765,birth day - Duroc x Large white,Kruskal-Wallis
t10,33,0.987346047022175,0.265307065710434,0.352104113319491,0.335401222988617,0.513591739747784,0.361984849239173,0.454171129925575,birth day - Duroc x Large white,Kruskal-Wallis
t2,56,0.216392898150212,0.553733031022716,0.1900472539438,0.63686924344251,0.226182069887567,0.359774033789348,0.659266154003043,birth day - Duroc x Large white,Kruskal-Wallis
t3,24,0.420711653630513,0.745400801563752,0.50589417816265,0.259006525798292,0.454935171525528,0.0894186863567889,0.133335328960696,birth day - Duroc x Large white,Kruskal-Wallis
t4,51,0.293806849872597,0.0808441168200887,0.247574540590751,0.0798620289930673,0.437498628445929,0.913075060716765,0.573003442370742,birth day - Duroc x Large white,Kruskal-Wallis
t5,11,0.307643223500874,0.454310951707332,0.945203601819641,0.874628530793695,0.64504829012629,0.787324049701459,0.376011107043165,birth day - Duroc x Large white,Kruskal-Wallis
t6,33,0.909097385944778,0.808511963328548,0.695634912882468,0.244971034463963,0.651407164413244,0.0633085533200033,0.474352231410006,birth day - Duroc x Large white,Kruskal-Wallis
t7,24,0.611521316252404,0.680439803591366,0.594838099675352,0.333773319746874,0.154075395020834,0.571221530609373,0.477993612153443,birth day - Duroc x Large white,Kruskal-Wallis
t8,33,0.726510430251563,0.658050043522255,0.563117683798726,0.84995017785016,0.553693860812905,0.224571486477174,0.58605117299379,birth day - Duroc x Large white,Kruskal-Wallis
t9,23,0.516134883393641,0.260125860060265,0.231955985891057,0.525089423673354,0.343226012137177,0.453438814577716,0.307905618527279,birth day - Duroc x Large white,Kruskal-Wallis
all,784,0.000801681362849905,8.23268463084479e-05,8.06283852198947e-06,9.24131200951835e-07,9.67425547277363e-06,4.01111169501628e-07,0.0135165728003919,maternal_sow,Kruskal-Wallis
t0,126,9.32737400642352e-05,0.00154705018749209,0.0120158980800975,0.0367932508851083,0.0314536921228848,0.506636932227401,0.017109930369609,maternal_sow,Kruskal-Wallis
t1,48,0.24597250729741,0.191029673749089,0.445768289581015,0.124409724711804,0.16911028690306,0.592663770542691,0.222911377763776,maternal_sow,Kruskal-Wallis
t10,72,0.581924880498691,0.313700465462974,0.273370735828953,0.2868852448159,0.329394770415564,0.0298148904851358,0.0753484455185331,maternal_sow,Kruskal-Wallis
