comparison,diff,lwr,upr,p adj,time_delta,test,padj_method,variable
Neomycin+D-Scour-D-Scour,0.134418522743888,-8.59870191121986,8.86753895670763,0.999999973921182,t0_t2,anova,TukeyHSD,BWPD
Neomycin+ColiGuard-D-Scour,-4.88078959924264,-14.2224970022633,4.46091780377801,0.652927680673343,t0_t2,anova,TukeyHSD,BWPD
Neomycin-ColiGuard,8.31038144223063,0.210381478061073,16.4103814064002,0.0408739578541715,t0_t2,anova,TukeyHSD,BWPD
Neomycin+D-Scour-ColiGuard,4.17779164934115,-4.40912145998079,12.7647047586631,0.718156216568236,t0_t2,anova,TukeyHSD,BWPD
Neomycin+ColiGuard-ColiGuard,-0.837416472645385,-10.0425879233344,8.36775497804367,0.999819199647724,t0_t2,anova,TukeyHSD,BWPD
Neomycin+D-Scour-Neomycin,-4.13258979288949,-12.0934693394273,3.82828975364838,0.659166761352377,t0_t2,anova,TukeyHSD,BWPD
Neomycin+ColiGuard-Neomycin,-9.14779791487602,-17.7719331088546,-0.523662720897393,0.03095197914615,t0_t2,anova,TukeyHSD,BWPD
Neomycin+ColiGuard-Neomycin+D-Scour,-5.01520812198653,-14.0982024064457,4.06778616247268,0.597050036582496,t0_t2,anova,TukeyHSD,BWPD
D-Scour-Control,-4.35673852312605,-20.6025818006009,11.8891047543488,0.969922751731507,t2_t4,anova,TukeyHSD,unrooted_PD
ColiGuard-Control,0.758205398178505,-15.2406725735465,16.7570833699035,0.999992728242856,t2_t4,anova,TukeyHSD,unrooted_PD
Neomycin-Control,0.277197589894551,-15.5005598858696,16.0549550656587,0.999999948587112,t2_t4,anova,TukeyHSD,unrooted_PD
Neomycin+D-Scour-Control,-6.11906385524,-21.8968213310042,9.65869362052419,0.867342897563083,t2_t4,anova,TukeyHSD,unrooted_PD
Neomycin+ColiGuard-Control,-4.01603226823439,-20.8543653382536,12.8223008017848,0.982023522536482,t2_t4,anova,TukeyHSD,unrooted_PD
ColiGuard-D-Scour,5.11494392130455,-10.5969353649552,20.8268232075643,0.932376760386855,t2_t4,anova,TukeyHSD,unrooted_PD
Neomycin-D-Scour,4.6339361130206,-10.8527254160465,20.1205976420876,0.952121468353372,t2_t4,anova,TukeyHSD,unrooted_PD
Neomycin+D-Scour-D-Scour,-1.76232533211395,-17.248986861181,13.7243361969531,0.999449565134264,t2_t4,anova,TukeyHSD,unrooted_PD
Neomycin+ColiGuard-D-Scour,0.340706254891652,-16.2251778123338,16.9065903221171,0.999999887038452,t2_t4,anova,TukeyHSD,unrooted_PD
Neomycin-ColiGuard,-0.481007808283954,-15.7083962210669,14.746380604499,0.999999037301318,t2_t4,anova,TukeyHSD,unrooted_PD
Neomycin+D-Scour-ColiGuard,-6.8772692534185,-22.1046576662014,8.35011915936445,0.775161659327529,t2_t4,anova,TukeyHSD,unrooted_PD
Neomycin+ColiGuard-ColiGuard,-4.7742376664129,-21.0979991044707,11.549523771645,0.956477901556232,t2_t4,anova,TukeyHSD,unrooted_PD
Neomycin+D-Scour-Neomycin,-6.39626144513455,-21.3911569927415,8.5986341024724,0.814176557399274,t2_t4,anova,TukeyHSD,unrooted_PD
Neomycin+ColiGuard-Neomycin,-4.29322985812894,-20.4003314625924,11.8138717463346,0.97070653783036,t2_t4,anova,TukeyHSD,unrooted_PD
Neomycin+ColiGuard-Neomycin+D-Scour,2.1030315870056,-14.0040700174579,18.2101331914691,0.998927452603861,t2_t4,anova,TukeyHSD,unrooted_PD
D-Scour-Control,-5.11945330818373,-15.1777607756765,4.93885415930907,0.675507507447571,t2_t4,anova,TukeyHSD,BWPD
ColiGuard-Control,-2.67476089619718,-12.5801644524181,7.23064266002373,0.969014755393033,t2_t4,anova,TukeyHSD,BWPD
Neomycin-Control,-6.92758263425965,-16.6960836057547,2.84091833723537,0.314201410274138,t2_t4,anova,TukeyHSD,BWPD
Neomycin+D-Scour-Control,-0.571092677794304,-10.3395936492893,9.19740829370072,0.999979345770454,t2_t4,anova,TukeyHSD,BWPD
Neomycin+ColiGuard-Control,-1.11100389375045,-11.5361402418976,9.31413245439665,0.999600370915575,t2_t4,anova,TukeyHSD,BWPD
ColiGuard-D-Scour,2.44469241198655,-7.28302132094415,12.1724061449172,0.977339321037966,t2_t4,anova,TukeyHSD,BWPD
Neomycin-D-Scour,-1.80812932607592,-11.3964037322636,7.78014508011176,0.993843406763606,t2_t4,anova,TukeyHSD,BWPD
Neomycin+D-Scour-D-Scour,4.54836063038943,-5.03991377579825,14.1366350365771,0.737157725320165,t2_t4,anova,TukeyHSD,BWPD
Neomycin+ColiGuard-D-Scour,4.00844941443328,-6.2480052720416,14.2649041009082,0.863567317531383,t2_t4,anova,TukeyHSD,BWPD
Neomycin-ColiGuard,-4.25282173806247,-13.6805720842122,5.17492860808726,0.776039076208548,t2_t4,anova,TukeyHSD,BWPD
Neomycin+D-Scour-ColiGuard,2.10366821840288,-7.32408212774685,11.5314185645526,0.986669459141253,t2_t4,anova,TukeyHSD,BWPD
Neomycin+ColiGuard-ColiGuard,1.56375700244673,-8.54279202462899,11.6703060295224,0.997576847368066,t2_t4,anova,TukeyHSD,BWPD
Neomycin+D-Scour-Neomycin,6.35648995646535,-2.92731681704257,15.6402967299733,0.353241122925254,t2_t4,anova,TukeyHSD,BWPD
Neomycin+ColiGuard-Neomycin,5.8165787405092,-4.15582943681639,15.7889869178348,0.535451159445584,t2_t4,anova,TukeyHSD,BWPD
Neomycin+ColiGuard-Neomycin+D-Scour,-0.539911215956151,-10.5123193932817,9.43249696136944,0.999985898008261,t2_t4,anova,TukeyHSD,BWPD
D-Scour-Control,2.11544280600306,-11.4727119828727,15.7035975948788,0.997353378653367,t4_t6,anova,TukeyHSD,unrooted_PD
ColiGuard-Control,-1.326043509184,-14.2818407572553,11.6297537388873,0.999651172216664,t4_t6,anova,TukeyHSD,unrooted_PD
Neomycin-Control,8.43658117772694,-4.5192160703444,21.3923784257983,0.402614714956449,t4_t6,anova,TukeyHSD,unrooted_PD
Neomycin+D-Scour-Control,-3.07618415098272,-16.3231592665294,10.1707909645639,0.983172906294453,t4_t6,anova,TukeyHSD,unrooted_PD
Neomycin+ColiGuard-Control,4.13808423028364,-9.45007055859208,17.7262390191594,0.946028331776008,t4_t6,anova,TukeyHSD,unrooted_PD
ColiGuard-D-Scour,-3.44148631518706,-17.0296411040628,10.1466684736887,0.975313360091826,t4_t6,anova,TukeyHSD,unrooted_PD
Neomycin-D-Scour,6.32113837172388,-7.26701641715184,19.9092931605996,0.745232660663829,t4_t6,anova,TukeyHSD,unrooted_PD
Neomycin+D-Scour-D-Scour,-5.19162695698578,-19.057686885647,8.67443297167547,0.878841021372099,t4_t6,anova,TukeyHSD,unrooted_PD
Neomycin+ColiGuard-D-Scour,2.02264142428058,-12.1697233821835,16.2150062307446,0.998264121991311,t4_t6,anova,TukeyHSD,unrooted_PD
Neomycin-ColiGuard,9.76262468691094,-3.1931725611604,22.7184219349823,0.245138727299174,t4_t6,anova,TukeyHSD,unrooted_PD
Neomycin+D-Scour-ColiGuard,-1.75014064179872,-14.9971157573454,11.4968344737479,0.998794036772199,t4_t6,anova,TukeyHSD,unrooted_PD
Neomycin+ColiGuard-ColiGuard,5.46412773946764,-8.12402704940808,19.0522825283434,0.843149355026263,t4_t6,anova,TukeyHSD,unrooted_PD
Neomycin+D-Scour-Neomycin,-11.5127653287097,-24.7597404442563,1.73420978683697,0.12403443837654,t4_t6,anova,TukeyHSD,unrooted_PD
Neomycin+ColiGuard-Neomycin,-4.2984969474433,-17.886651736319,9.28965784143242,0.93698289353151,t4_t6,anova,TukeyHSD,unrooted_PD
Neomycin+ColiGuard-Neomycin+D-Scour,7.21426838126636,-6.65179154739488,21.0803283099276,0.646089851033581,t4_t6,anova,TukeyHSD,unrooted_PD
D-Scour-Control,2.95722039251406,-14.0838377547126,19.9982785397407,0.995593953048747,t4_t6,anova,TukeyHSD,BWPD
ColiGuard-Control,3.86764013961971,-12.3803712849197,20.1156515641591,0.981268025910838,t4_t6,anova,TukeyHSD,BWPD
Neomycin-Control,-3.59644096719044,-19.8444523917299,12.651570457349,0.986470835961805,t4_t6,anova,TukeyHSD,BWPD
Neomycin+D-Scour-Control,0.101612876106452,-16.146398548433,16.3496243006459,0.99999999968753,t4_t6,anova,TukeyHSD,BWPD
Neomycin+ColiGuard-Control,-1.02851465753158,-18.0695728047582,16.0125434896951,0.999974322801308,t4_t6,anova,TukeyHSD,BWPD
ColiGuard-D-Scour,0.910419747105653,-16.130638400121,17.9514778943323,0.999985988756505,t4_t6,anova,TukeyHSD,BWPD
Neomycin-D-Scour,-6.5536613597045,-23.5947195069311,10.4873967875221,0.866605138459057,t4_t6,anova,TukeyHSD,BWPD
Neomycin+D-Scour-D-Scour,-2.85560751640761,-19.8966656636342,14.185450630819,0.996262331535769,t4_t6,anova,TukeyHSD,BWPD
Neomycin+ColiGuard-D-Scour,-3.98573505004564,-21.7845397936894,13.8130696935981,0.985743839354265,t4_t6,anova,TukeyHSD,BWPD
Neomycin-ColiGuard,-7.46408110681016,-23.7120925313496,8.78393031772925,0.755493465859077,t4_t6,anova,TukeyHSD,BWPD
Neomycin+D-Scour-ColiGuard,-3.76602726351326,-20.0140386880527,12.4819841610261,0.983361996621264,t4_t6,anova,TukeyHSD,BWPD
Neomycin+ColiGuard-ColiGuard,-4.89615479715129,-21.9372129443779,12.1449033500754,0.957730632745922,t4_t6,anova,TukeyHSD,BWPD
Neomycin+D-Scour-Neomycin,3.6980538432969,-12.5499575812425,19.9460652678363,0.984664457935923,t4_t6,anova,TukeyHSD,BWPD
Neomycin+ColiGuard-Neomycin,2.56792630965886,-14.4731318375678,19.6089844568855,0.997741164017932,t4_t6,anova,TukeyHSD,BWPD
Neomycin+ColiGuard-Neomycin+D-Scour,-1.13012753363803,-18.1711856808647,15.9109306135886,0.999959032916802,t4_t6,anova,TukeyHSD,BWPD
D-Scour-Control,2.58611708533806,-16.9523632858112,22.1245974564873,0.998787314468309,t6_t8,anova,TukeyHSD,unrooted_PD
ColiGuard-Control,1.94938326684281,-16.6798268177573,20.5785933514429,0.99961263975072,t6_t8,anova,TukeyHSD,unrooted_PD
Neomycin-Control,-5.52774593749138,-24.1569560220915,13.1014641471087,0.951644011415907,t6_t8,anova,TukeyHSD,unrooted_PD
Neomycin+D-Scour-Control,10.0169944985597,-8.61221558604046,28.6462045831598,0.613772937615326,t6_t8,anova,TukeyHSD,unrooted_PD
Neomycin+ColiGuard-Control,-3.0645890544392,-22.6030694255884,16.47389131671,0.997266783598478,t6_t8,anova,TukeyHSD,unrooted_PD
ColiGuard-D-Scour,-0.636733818495247,-20.1752141896445,18.901746552654,0.999998805678409,t6_t8,anova,TukeyHSD,unrooted_PD
Neomycin-D-Scour,-8.11386302282944,-27.6523433939787,11.4246173483198,0.824866067922845,t6_t8,anova,TukeyHSD,unrooted_PD
Neomycin+D-Scour-D-Scour,7.43087741322161,-12.1076029579276,26.9693577843708,0.871925570534505,t6_t8,anova,TukeyHSD,unrooted_PD
Neomycin+ColiGuard-D-Scour,-5.65070613977726,-26.0579833234537,14.7565710438992,0.963839501659119,t6_t8,anova,TukeyHSD,unrooted_PD
Neomycin-ColiGuard,-7.4771292043342,-26.1063392889343,11.1520808802659,0.844506147950091,t6_t8,anova,TukeyHSD,unrooted_PD
Neomycin+D-Scour-ColiGuard,8.06761123171685,-10.5615988528833,26.696821316317,0.79811400644721,t6_t8,anova,TukeyHSD,unrooted_PD
Neomycin+ColiGuard-ColiGuard,-5.01397232128201,-24.5524526924312,14.5245080498672,0.973932254684423,t6_t8,anova,TukeyHSD,unrooted_PD
Neomycin+D-Scour-Neomycin,15.544740436051,-3.08446964854908,34.1739505206512,0.154240366818393,t6_t8,anova,TukeyHSD,unrooted_PD
Neomycin+ColiGuard-Neomycin,2.46315688305218,-17.075323488097,22.0016372542014,0.999041516686856,t6_t8,anova,TukeyHSD,unrooted_PD
Neomycin+ColiGuard-Neomycin+D-Scour,-13.0815835529989,-32.6200639241481,6.45689681815036,0.37167137910998,t6_t8,anova,TukeyHSD,unrooted_PD
D-Scour-Control,-3.25181325340034,-14.0724486963708,7.56882218957013,0.949032002914774,t6_t8,anova,TukeyHSD,BWPD
ColiGuard-Control,-3.73377640082081,-14.0508474875581,6.58329468591644,0.893539018642906,t6_t8,anova,TukeyHSD,BWPD
Neomycin-Control,-0.965290566285335,-11.2823616530226,9.35178052045192,0.999776117380279,t6_t8,anova,TukeyHSD,BWPD
Neomycin+D-Scour-Control,-4.01624702728338,-14.3333181140206,6.30082405945387,0.860597403716787,t6_t8,anova,TukeyHSD,BWPD
Neomycin+ColiGuard-Control,-0.22082259283181,-11.0414580358023,10.5998128501387,0.999999884603142,t6_t8,anova,TukeyHSD,BWPD
ColiGuard-D-Scour,-0.481963147420472,-11.3025985903909,10.33867229555,0.999994330889458,t6_t8,anova,TukeyHSD,BWPD
