comparison,diff,lwr,upr,p adj,time_delta,test,padj_method,variable
Neomycin+ColiGuard-ColiGuard,-1.36841565203764,-17.8892128372609,15.1523815331856,0.999877061312203,t0_t8,anova,TukeyHSD,unrooted_PD
Neomycin+D-Scour-Neomycin,-3.13743583835543,-18.8893978989797,12.6145262222688,0.991636745613306,t0_t8,anova,TukeyHSD,unrooted_PD
Neomycin+ColiGuard-Neomycin,-4.76018005555664,-21.2809772407799,11.7606171296666,0.957223618765806,t0_t8,anova,TukeyHSD,unrooted_PD
Neomycin+ColiGuard-Neomycin+D-Scour,-1.62274421720121,-18.1435414024245,14.8980529680221,0.99971581129509,t0_t8,anova,TukeyHSD,unrooted_PD
D-Scour-Control,-3.15543770072758,-14.3766107043841,8.06573530292896,0.961392716209146,t0_t8,anova,TukeyHSD,BWPD
ColiGuard-Control,-3.33431476889605,-14.0332834353352,7.36465389754305,0.940838833725751,t0_t8,anova,TukeyHSD,BWPD
Neomycin-Control,-6.86489725766694,-17.563865924106,3.83407140877217,0.419793855766127,t0_t8,anova,TukeyHSD,BWPD
Neomycin+D-Scour-Control,-3.10457448272622,-13.8035431491653,7.59439418371289,0.955938751439046,t0_t8,anova,TukeyHSD,BWPD
Neomycin+ColiGuard-Control,-3.05827102701442,-14.279444030671,8.16290197664212,0.966201198718804,t0_t8,anova,TukeyHSD,BWPD
ColiGuard-D-Scour,-0.17887706816847,-11.400050071825,11.0422959354881,0.99999996641168,t0_t8,anova,TukeyHSD,BWPD
Neomycin-D-Scour,-3.70945955693935,-14.9306325605959,7.51171344671719,0.925028140626001,t0_t8,anova,TukeyHSD,BWPD
Neomycin+D-Scour-D-Scour,0.0508632180013646,-11.1703097856552,11.2720362216579,0.99999999993751,t0_t8,anova,TukeyHSD,BWPD
Neomycin+ColiGuard-D-Scour,0.0971666737131631,-11.6229662875862,11.8172996350125,0.999999998720779,t0_t8,anova,TukeyHSD,BWPD
Neomycin-ColiGuard,-3.53058248877089,-14.22955115521,7.16838617766822,0.925551879908273,t0_t8,anova,TukeyHSD,BWPD
Neomycin+D-Scour-ColiGuard,0.229740286169834,-10.4692283802693,10.9287089526089,0.999999851195552,t0_t8,anova,TukeyHSD,BWPD
Neomycin+ColiGuard-ColiGuard,0.276043741881633,-10.9451292617749,11.4972167455382,0.999999706564112,t0_t8,anova,TukeyHSD,BWPD
Neomycin+D-Scour-Neomycin,3.76032277494072,-6.93864589149839,14.4592914413798,0.90477207204893,t0_t8,anova,TukeyHSD,BWPD
Neomycin+ColiGuard-Neomycin,3.80662623065252,-7.41454677300402,15.0277992343091,0.916991529738782,t0_t8,anova,TukeyHSD,BWPD
Neomycin+ColiGuard-Neomycin+D-Scour,0.0463034557117985,-11.1748695479447,11.2674764593683,0.99999999996094,t0_t8,anova,TukeyHSD,BWPD
