DNA_plate,DNA_well,metric,value,analysis
plate_1,A9,unrooted_pd,106.902,100K
plate_1,A9,bwpd,2.01847,100K
plate_1,B10,unrooted_pd,135.557,100K
plate_1,B10,bwpd,2.19572,100K
plate_1,B11,unrooted_pd,133.229,100K
plate_1,B11,bwpd,1.96556,100K
plate_1,B12,unrooted_pd,135.491,100K
plate_1,B12,bwpd,2.06696,100K
plate_1,B1,unrooted_pd,134.692,100K
plate_1,B1,bwpd,2.01987,100K
plate_1,B2,unrooted_pd,135.491,100K
plate_1,B2,bwpd,2.16179,100K
plate_1,B3,unrooted_pd,135.963,100K
plate_1,B3,bwpd,2.12492,100K
plate_1,B4,unrooted_pd,134.732,100K
plate_1,B4,bwpd,2.01462,100K
plate_1,B5,unrooted_pd,123.609,100K
plate_1,B5,bwpd,2.3761,100K
plate_1,B6,unrooted_pd,107.233,100K
plate_1,B6,bwpd,2.15756,100K
plate_1,B7,unrooted_pd,128.961,100K
plate_1,B7,bwpd,2.23475,100K
plate_1,B8,unrooted_pd,114.284,100K
plate_1,B8,bwpd,2.15554,100K
plate_1,B9,unrooted_pd,117.752,100K
plate_1,B9,bwpd,2.1461,100K
plate_1,C10,unrooted_pd,124.561,100K
plate_1,C10,bwpd,2.17888,100K
plate_1,C11,unrooted_pd,118.055,100K
plate_1,C11,bwpd,2.12664,100K
plate_1,C12,unrooted_pd,124.087,100K
plate_1,C12,bwpd,2.13232,100K
plate_1,C1,unrooted_pd,105.543,100K
plate_1,C1,bwpd,2.1642,100K
plate_1,C2,unrooted_pd,113.604,100K
plate_1,C2,bwpd,2.06677,100K
plate_1,C3,unrooted_pd,125.976,100K
plate_1,C3,bwpd,2.03779,100K
plate_1,C4,unrooted_pd,113.956,100K
plate_1,C4,bwpd,1.91609,100K
plate_1,C5,unrooted_pd,116.025,100K
plate_1,C5,bwpd,2.07865,100K
plate_1,C6,unrooted_pd,116.35,100K
plate_1,C6,bwpd,2.18639,100K
plate_1,C7,unrooted_pd,129.024,100K
plate_1,C7,bwpd,2.01229,100K
plate_1,C8,unrooted_pd,123.261,100K
plate_1,C8,bwpd,2.20553,100K
plate_1,C9,unrooted_pd,120.221,100K
plate_1,C9,bwpd,2.32512,100K
plate_1,D10,unrooted_pd,131.603,100K
plate_1,D10,bwpd,2.02985,100K
plate_1,D11,unrooted_pd,115.234,100K
plate_1,D11,bwpd,2.23316,100K
plate_1,D12,unrooted_pd,124.173,100K
plate_1,D12,bwpd,2.16247,100K
plate_1,D1,unrooted_pd,126.13,100K
plate_1,D1,bwpd,2.10987,100K
plate_1,D2,unrooted_pd,117.906,100K
plate_1,D2,bwpd,2.23715,100K
plate_1,D3,unrooted_pd,119.452,100K
plate_1,D3,bwpd,2.11209,100K
plate_1,D4,unrooted_pd,116.3,100K
plate_1,D4,bwpd,1.99752,100K
plate_1,D5,unrooted_pd,125.13,100K
plate_1,D5,bwpd,2.03503,100K
plate_1,D6,unrooted_pd,120.269,100K
plate_1,D6,bwpd,2.18933,100K
plate_1,D7,unrooted_pd,107.683,100K
plate_1,D7,bwpd,2.0312,100K
plate_1,D8,unrooted_pd,101.968,100K
plate_1,D8,bwpd,2.37141,100K
plate_1,D9,unrooted_pd,130.569,100K
plate_1,D9,bwpd,2.2005,100K
plate_1,E10,unrooted_pd,116.135,100K
plate_1,E10,bwpd,2.05351,100K
plate_1,E11,unrooted_pd,129.932,100K
plate_1,E11,bwpd,2.19435,100K
plate_1,E12,unrooted_pd,96.5403,100K
plate_1,E12,bwpd,2.24941,100K
plate_1,E1,unrooted_pd,123.285,100K
plate_1,E1,bwpd,2.12832,100K
plate_1,E2,unrooted_pd,145.741,100K
plate_1,E2,bwpd,2.12064,100K
plate_1,E3,unrooted_pd,104.012,100K
plate_1,E3,bwpd,2.20411,100K
plate_1,E4,unrooted_pd,116.945,100K
plate_1,E4,bwpd,2.37192,100K
plate_1,E5,unrooted_pd,121.569,100K
plate_1,E5,bwpd,2.24183,100K
plate_1,E6,unrooted_pd,129.936,100K
plate_1,E6,bwpd,2.11296,100K
plate_1,E7,unrooted_pd,61.9385,100K
plate_1,E7,bwpd,2.32477,100K
plate_1,E8,unrooted_pd,120.571,100K
