isolation_source,collection_date,Cohort,phylo_entropy,quadratic,unrooted_pd,rooted_pd,bwpd
14260,t0,Neomycin+ColiGuard,3.23628167588787,0.896400326080044,298.42644938693,298.426784487092,2.08024450267245
29667,t2,Neomycin+D-Scour,3.45940337405877,0.907207515772576,344.397986983864,344.397537818377,2.06284845354209
29702,t8,Neomycin+ColiGuard,3.36363793010961,0.899007241728386,310.57340037799,310.573528253488,2.01316511702263
14186,t0,Neomycin+ColiGuard,3.28268415866195,0.910870352249501,313.617455566111,313.617531510609,2.1536180284612
29781,t9,Neomycin,3.28729656544969,0.919955004428741,276.250102067849,276.250815492259,2.11191705625789
29668,t7,Neomycin,3.13688755778578,1.00084582824054,242.378233539674,242.379524811691,2.39862156217846
29668,t3,Neomycin,3.51443671862883,0.942470649571536,354.983508778946,354.982879026479,2.15654489537712
14162,t4,ColiGuard,3.41023530331135,0.929769379672178,357.166357525162,357.165690533712,2.10526508599443
29715,t9,Neomycin+ColiGuard,3.2673713393465,0.859827068290066,315.040416275351,315.040467944411,1.96815192238469
14184,t0,Control,3.23134445172071,0.871569298985686,331.709545406456,331.709312703358,2.04018587898935
29951,t1,Neomycin+D-Scour,3.64424302394105,0.984055976008293,354.56022299835,354.559600467057,2.23271683624222
14265,t7,Neomycin,3.45996948434861,0.928035287469683,338.34927820954,338.348932233868,2.08683224701612
29865,t7,Neomycin+D-Scour,3.55561428184255,0.944889134903667,339.399612340648,339.399248446477,2.09918197387765
29754,t0,Neomycin+D-Scour,3.41360132485735,0.96396649941066,303.065989562527,303.066112588216,2.29325401438205
29692,t0,ColiGuard,3.52214881126588,0.964586324703504,314.674544257548,314.674602168315,2.20854954014023
14320,t9,Neomycin+D-Scour,3.38974396691831,0.925315491396063,339.014602401914,339.014245075939,2.1092837935467
14188,t3,ColiGuard,3.39869036559716,0.932184309715324,343.715776390669,343.715338863563,2.12316576735167
29665,t1,Control,3.56115473828577,0.991362094872724,340.544510316358,340.544126890446,2.23584555604889
14208,t0,Neomycin,3.40082487980476,0.930190681416915,257.449909153048,257.450943305158,2.10347593537185
